Date,삼성전자,SK하이닉스,NAVER,카카오,POSCO홀딩스
2024-01-26,70672.6484375,133976.359375,215443.21875,56453.96875,388095.8125
2024-01-29,71635.4921875,132991.234375,210965.1875,55157.3203125,397974.65625
2024-01-30,71539.203125,134862.984375,208477.390625,54159.8984375,403149.25
2024-01-31,69998.6484375,132695.6875,199521.3125,52364.54296875,400797.125
2024-02-01,70865.2109375,130725.4453125,201511.5625,52564.02734375,411146.375
2024-02-02,72405.7578125,132892.71875,220418.8125,56154.73828125,422436.46875
2024-02-05,71539.203125,130331.3984375,206984.703125,54858.09765625,420084.3125
2024-02-06,71635.4921875,135946.59375,204496.90625,53860.67578125,411146.375
2024-02-07,72213.1953125,135946.59375,203501.796875,53661.19140625,422906.875
2024-02-08,71346.625,140675.171875,204994.46875,53860.67578125,426199.78125
2024-02-13,72405.7578125,147768.03125,203999.359375,54558.8671875,412087.21875
2024-02-14,71250.3515625,146487.375,201511.5625,54758.3515625,407383.0
2024-02-15,70480.078125,146684.4375,203004.234375,59147.0,413028.09375
2024-02-16,70094.9375,144615.671875,203999.359375,58249.32421875,415850.5625
2024-02-19,71057.78125,149048.703125,202506.671875,58049.83984375,418202.6875
2024-02-20,70576.359375,147374.0,201511.5625,58548.546875,413968.90625
2024-02-21,70287.5078125,146782.921875,201511.5625,57850.35546875,412087.21875
2024-02-22,70383.7890625,154171.3125,201014.0,57750.609375,410675.9375
2024-02-23,70191.21875,158998.390625,199521.3125,56952.67578125,409735.09375
2024-02-26,70094.9375,159392.453125,198924.25,56952.67578125,406912.59375
2024-02-27,70191.21875,151511.5,199023.765625,56653.453125,401737.9375
2024-02-28,70480.078125,155649.0,203004.234375,55516.16796875,414040.90625
2024-02-29,70672.6484375,153875.796875,194048.171875,53219.63671875,408362.625
2024-03-04,72116.90625,164022.515625,191062.8125,53019.9375,433441.6875
2024-03-05,70961.4921875,163332.9375,187778.921875,51622.05078125,423031.53125
2024-03-06,70191.21875,160476.09375,188873.546875,51821.74609375,415933.59375
2024-03-07,69517.2265625,162446.359375,188077.453125,52820.23828125,419246.0
2024-03-08,70576.359375,169342.15625,187082.328125,53119.7890625,420665.59375
2024-03-11,69709.8046875,164121.03125,188973.0625,54517.67578125,413567.75
2024-03-12,70576.359375,163234.421875,189570.125,55715.8671875,425870.6875
2024-03-13,71346.625,161165.6875,187480.375,54517.67578125,423977.90625
2024-03-14,71539.203125,159490.953125,185888.1875,54817.22265625,418299.625
2024-03-15,69613.515625,158801.390625,185191.609375,54018.4296875,411674.9375
2024-03-18,70094.9375,161855.265625,183201.375,52920.08984375,415933.59375
2024-03-19,70094.9375,157816.28125,181708.6875,51921.59765625,408362.625
2024-03-20,74042.59375,154171.3125,182206.25,52820.23828125,403630.78125
2024-03-21,76353.40625,167470.453125,183499.90625,53519.18359375,405050.3125
2024-03-22,75968.2890625,167273.4375,187977.9375,53519.18359375,405523.53125
2024-03-25,75294.28125,166879.375,187082.328125,53718.8828125,408835.8125
2024-03-26,76931.109375,173972.234375,187977.9375,54817.22265625,405996.6875
2024-03-27,76834.8359375,178503.78125,188375.984375,54717.375,405050.3125
2024-03-28,78151.2265625,175839.5625,186186.734375,54317.9765625,400766.59375
2024-03-29,79698.7734375,180575.96875,186485.265625,53619.03515625,401718.53125
2024-04-01,79311.890625,183042.875,193351.578125,53718.8828125,397910.75
2024-04-02,82213.53125,183832.28125,191062.8125,51122.8046875,389819.28125
2024-04-03,81343.0390625,176826.296875,192455.96875,50923.10546875,379347.9375
2024-04-04,82503.703125,185509.765625,193351.578125,49225.66796875,382203.75
2024-04-05,81729.9296875,180378.609375,192157.4375,48676.49609375,375540.21875
2024-04-08,81729.9296875,178799.8125,188973.0625,49075.89453125,383631.65625
2024-04-09,80859.4375,180477.296875,188077.453125,49175.7421875,384107.625
2024-04-11,81343.0390625,185904.46875,182703.8125,47977.55078125,380775.84375
2024-04-12,80956.140625,184917.703125,184992.578125,47777.85546875,376016.15625
2024-04-15,79505.3359375,185707.109375,181907.71875,47678.00390625,371732.40625
2024-04-16,77377.4453125,176727.640625,178623.828125,46679.51171875,362213.03125
2024-04-17,76313.5,176332.921875,178723.328125,46829.28515625,353169.625
2024-04-18,76990.546875,179885.25,179817.96875,49025.96875,371256.46875
2024-04-19,75056.1171875,171004.46875,181509.671875,48526.72265625,367924.65625
2024-04-22,73605.296875,169326.984375,180016.984375,48926.12109375,376016.15625
2024-04-23,73024.9765625,168734.953125,179220.890625,47428.3828125,372684.34375
2024-04-24,76023.34375,177418.375,182803.328125,48027.4765625,376968.0625
2024-04-25,73798.7265625,168340.21875,181808.203125,47328.53125,373636.3125
2024-04-26,74185.625,175444.84375,180614.0625,47228.68359375,375540.21875
2024-04-29,74185.625,173570.015625,183798.4375,48426.875,387439.4375
2024-04-30,74959.3984375,171892.546875,183499.90625,48526.72265625,385535.5625
2024-05-02,75443.015625,171300.484375,187878.421875,48227.17578125,379823.9375
2024-05-03,75056.1171875,170905.796875,193650.125,49125.81640625,384107.625
2024-05-07,78634.8359375,177221.03125,193849.140625,49625.0625,386963.46875
2024-05-08,78634.8359375,175642.203125,189968.171875,49724.9140625,384107.625
2024-05-09,77087.2890625,173076.65625,187380.875,48526.72265625,378872.03125
2024-05-10,76603.671875,177517.03125,187679.40625,47727.9296875,381727.8125
2024-05-13,75829.8984375,181365.390625,183400.390625,46929.13671875,379823.9375
2024-05-14,75733.171875,182845.53125,183499.90625,46579.6640625,382203.75
2024-05-16,75636.453125,190443.515625,187579.890625,46729.4375,383155.71875
2024-05-17,74862.671875,187384.59375,186385.75,46379.96484375,378872.03125
2024-05-20,76313.5,187581.9375,183101.859375,45980.56640625,381727.8125
2024-05-21,75829.8984375,189456.765625,182305.765625,45880.71875,374588.28125
2024-05-22,75152.84375,195081.265625,181708.6875,45730.9453125,371732.40625
2024-05-23,75733.171875,197350.796875,181211.140625,45381.47265625,368876.65625
2024-05-24,73411.8515625,195969.359375,178126.265625,44382.98046875,363165.0
2024-05-27,74669.234375,198830.953125,178126.265625,45780.87109375,369828.5625
2024-05-28,75056.1171875,199817.6875,176534.078125,45032.0,364592.90625
2024-05-29,72734.796875,199817.6875,174444.328125,43684.03515625,356025.46875
2024-05-30,71090.53125,193107.734375,169568.25,43584.1875,351741.71875
2024-05-31,71090.53125,186693.859375,169369.21875,43234.71484375,351265.71875
2024-06-03,73218.40625,191627.625,171857.015625,44233.20703125,356025.46875
2024-06-04,72831.5234375,190739.53125,175937.0,44532.75390625,356977.375
2024-06-05,74862.671875,191134.234375,176235.53125,44482.828125,362689.03125
2024-06-07,74765.953125,204751.453125,174543.84375,44183.28125,367924.65625
2024-06-10,73218.40625,205244.828125,169866.78125,43035.015625,358881.28125
2024-06-11,72734.796875,209685.203125,169369.21875,43084.94140625,361737.09375
2024-06-12,73992.1796875,212152.109375,167578.0,42985.08984375,358881.28125
2024-06-13,76023.34375,219059.390625,169070.6875,43584.1875,356977.375
2024-06-14,76990.546875,218072.65625,169070.6875,43833.80859375,361737.09375
2024-06-17,75539.734375,220046.140625,165289.234375,42336.0703125,353169.625
2024-06-18,77184.0,231393.8125,165985.8125,42236.22265625,350313.8125
2024-06-19,78538.09375,230407.046875,167080.453125,42735.46875,355073.46875
2024-06-20,78924.9921875,234354.078125,166383.859375,42336.0703125,353169.625
2024-06-21,77377.4453125,230900.453125,166781.90625,43084.94140625,348885.875
